"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"8312","
        <p>In this experiment, a circle will appear on the screen.</p>
        <p>If the circle is <strong>blue</strong>, press the 'B' key as quickly as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the 'O' key as quickly as you can.</p>
        <p style=""font-size: 2em;"">Press any key to begin.</p>
    ","b","html-keyboard-response","0","2.1.0","8313"
"1318","
  <style>
    .circle {
      height: 100px;
      width: 100px;
      border-radius: 50%;
      display: block;
      margin: auto;
    }
  </style>
<div class=""circle"" style=""background-color: blue;""></div>","b","html-keyboard-response","1","2.1.0","10639"
"939","
  <style>
    .circle {
      height: 100px;
      width: 100px;
      border-radius: 50%;
      display: block;
      margin: auto;
    }
  </style>
<div class=""circle"" style=""background-color: orange;""></div>","o","html-keyboard-response","2","2.1.0","11580"
